X,Artist,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group.Solo
275,Fabolous,1320533,"dance pop,gangster rap,hardcore hip hop,hip hop,hip pop,pop,pop rap,r&b,rap,trap music,urban contemporary",15,2001,M,Solo
276,Gloriana,199508,"contemporary country,country,country dawn,country road,modern country rock",3,2009,,Group
277,Olly Murs,2555520,"dance pop,europop,neo mellow,pop,post-teen pop,talent show,uk pop",7,2010,M,Solo
278,Kelly Rowland,1992715,"atl hip hop,dance pop,deep pop r&b,hip pop,neo soul,pop,pop rap,post-teen pop,r&b,urban contemporary",7,2002,F,Solo
279,Q-Tip,2774150,"hip hop,pop,pop rap,rap,southern hip hop,trap music,underground hip hop",7,2011,M,Solo
280,will.i.am,2735395,"dance pop,pop,pop rap,post-teen pop",3,2001,M,Solo
281,Guy Sebastian,200198,"australian pop,australian talent show",10,2003,M,Solo
282,Ray J,705065,"r&b,urban contemporary",9,1997,M,Solo
283,Of Monsters And Men,2724060,"folk-pop,indie folk,indie pop,metropopolis,modern rock,stomp and holler",4,2011,,Group
284,WE the Kings,936759,"neo mellow,neon pop punk,piano rock,pop punk,pop rock,post-teen pop",10,2007,M,Group
285,Muse,5302069,"modern rock,permanent wave,piano rock,post-grunge,rock",10,1999,M,Group
286,Alicia Keys,6678108,"hip pop,neo soul,pop,r&b,urban contemporary",6,2001,F,Solo
287,Britt Nicole,286115,"ccm,cedm,christian alternative rock,christian music,christian pop,worship",4,2007,F,Solo
288,Michael Buble,3362672,"adult standards,canadian pop,lounge,neo mellow",12,2003,M,Solo
289,Gotye,2165817,australian pop,4,2003,,Group
290,Gary Allan,587415,"contemporary country,country,country road,modern country rock",10,1996,M,Solo
291,Joe Budden,271779,"battle rap,hardcore hip hop,hip hop,new jersey rap,pop rap,rap,trap music",18,2003,M,Solo
292,Chris Cagle,499416,"contemporary country,country,country road,modern country rock",5,2000,M,Solo
293,The Lonely Island,831855,comic,6,2009,M,Group
294,Passion Pit,1018230,"alternative dance,indie pop,indie poptimism,indie rock,indietronica,modern rock,shimmer pop,stomp and holler",5,2008,M,Group
295,Alex Clare,629079,modern alternative rock,4,2011,M,Solo
296,Game,2223790,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",42,2003,M,Solo
297,Lifehouse,1279264,"alternative metal,neo mellow,pop rock,post-grunge",8,2000,M,Group
298,Kid Cudi,3293763,"hip hop,pop rap,rap",9,2009,M,Solo
299,50 Cent,5568346,"east coast hip hop,gangster rap,hip hop,pop rap,rap",14,2003,M,Solo
300,Owl City,1799638,"pop,pop rock,post-teen pop",7,2007,,Group
301,The Nocturnals,111894,"folk-pop,modern blues rock",5,2005,,Group
302,Brandy,1414001,"dance pop,deep pop r&b,hip hop,hip pop,neo soul,pop,r&b,urban contemporary",10,1994,F,Solo
303,matchbox twenty,1368819,"neo mellow,pop rock,post-grunge",4,1996,M,Group
304,Love And Theft,266167,"contemporary country,country,country pop,country road,modern country rock",3,2009,M,Group
305,Keyshia Cole,1777529,"dance pop,deep pop r&b,hip pop,neo soul,pop,pop rap,r&b,urban contemporary",11,2005,F,Solo
306,Green Day,9639087,"permanent wave,pop punk,punk,rock",18,1991,M,Group
307,Grouplove,787405,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,rock,stomp and holler",4,2011,,Group
308,No Doubt,1358637,"alternative rock,dance pop,permanent wave,pop rock,post-grunge",6,1992,,Group
309,NERO,724391,"brostep,drum and bass,edm,electro house",3,2011,,Group
310,Gym Class Heroes,1022311,"dance pop,pop,pop punk,pop rap",4,2005,M,Group
311,Slaughterhouse,218458,"hardcore hip hop,hip hop,pop rap,rap,southern hip hop",3,2009,M,Group
312,Toby Keith,1136997,"contemporary country,country,country road",20,1995,M,Solo
313,The Killers,4891453,"indie rock,modern rock,permanent wave,rock",8,2004,M,Group
314,M83.,1600929,"french shoegaze,indie pop,indietronica,metropopolis,neo-synthpop",10,2001,,Group
315,Dave Matthews Band,1157084,"jam band,neo mellow,pop rock",48,1993,M,Group
316,Kirko Bangz,479682,"deep pop r&b,pop rap,rap,southern hip hop,trap music",8,2010,M,Solo
317,Travis Porter,592423,"atl hip hop,dirty south rap,pop rap,rap,southern hip hop,trap music",5,2011,M,Solo
318,Big Time Rush,1595651,"boy band,dance pop,pop,post-teen pop",4,2010,M,Group
319,Michel Telo,2047920,"sertanejo,sertanejo pop,sertanejo universitario",13,2009,M,Solo
320,LMFAO,3243712,"dance pop,pop,pop rap",5,2009,M,Group
321,Waka Flocka Flame,1694515,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",45,2010,M,Solo
322,Jay Sean,971337,"australian pop,dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary",7,2004,M,Solo
323,Snoop Dogg,5168620,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap",34,1993,M,Solo
324,Tony Lucca,10035,"acoustic pop,neo mellow",7,2006,M,Solo
325,Jennifer Hudson,954416,"dance pop,hip pop,neo soul,r&b,urban contemporary",3,2008,F,Solo
326,Montgomery Gentry,764059,"contemporary country,country,country road,country rock,modern country rock,redneck",11,1999,M,Group
327,Shinedown,2154640,"alternative metal,nu metal,post-grunge,rap rock",8,2003,M,Group
328,Sean Paul,2696435,"dance pop,dancehall,pop",10,2000,M,Solo
329,Madonna,3435500,"dance pop,pop",25,1983,F,Solo
330,Mary J. Blige,2012472,"dance pop,hip hop,hip pop,neo soul,pop,r&b,urban contemporary",21,1992,F,Solo
331,Breathe Carolina,277409,"big room,dance pop,edm,electro house,electropowerpop,neon pop punk,pop punk,screamo,trancecore",5,2008,M,Group
332,The Scene,4541479,"dance pop,pop,post-teen pop,viral pop",4,2009,,Group
333,Young The Giant,1062603,"indie pop,indie rock,indietronica,modern alternative rock,modern rock,rock,stomp and holler",5,2010,M,Group
334,Estelle,169598,r&b,4,1980,F,Solo
335,Whitney Houston,4649150,"dance pop,pop,r&b",11,1985,F,Solo
336,Martina McBride,674770,"contemporary country,country,country dawn,country road",15,1992,F,Solo
337,deadmau5,2322739,"big room,canadian electronic,edm,electro house,progressive house",21,2006,M,Solo
338,Van Halen,2721827,"album rock,classic rock,hard rock,metal,rock",8,1978,M,Group
339,Snow Patrol,1812145,"irish rock,modern rock,neo mellow,permanent wave,pop rock,rock",11,1998,M,Group
340,Nickelback,3907440,"alternative metal,canadian rock,nu metal,post-grunge",10,1996,M,Group
341,3OH!3,565935,"dance pop,electropowerpop,pop punk,pop rap,post-teen pop",6,2007,M,Group
342,V.I.C.,92078,"atl hip hop,pop rap,southern hip hop",4,2008,M,Solo
343,Roscoe Dash,146346,"atl hip hop,pop rap,southern hip hop,trap music",8,2010,M,Solo
344,Alexandra Stan,274203,"dance pop,romanian pop",11,2005,F,Solo
345,Mana,4632868,"latin,latin arena pop,latin pop,latin rock,mexican pop,mexican rock,rock en espanol",18,1990,M,Group
346,Matt Nathanson,265636,"acoustic pop,folk-pop,indiecoustica,neo mellow,pop rock",11,1993,M,Solo
347,Rodney Atkins,1019318,"contemporary country,country,country road,modern country rock,redneck",5,2003,M,Solo
348,New Boyz,272718,"dance pop,pop rap,southern hip hop",4,2009,M,Group
349,Mindless Behavior,177301,deep pop r&b,3,2011,M,Group
350,Bow Wow,665020,"dance pop,hip hop,hip pop,pop,pop rap,r&b,rap,southern hip hop,urban contemporary",10,2000,M,Solo
351,Kaskade,730953,"big room,chicago house,dance pop,disco house,edm,electro house,electropop,house,pop,progressive house,tropical house,vocal house",25,2003,M,Solo
352,Lloyd,1204119,"dance pop,deep pop r&b,hip hop,hip pop,pop,pop rap,r&b,rap,southern hip hop,trap music,urban contemporary",7,2004,M,Solo
353,Trace Adkins,1254116,"contemporary country,country,country road,country rock,modern country rock,redneck",14,1996,M,Solo
354,Evanescence,2402988,"alternative metal,post-grunge",7,2003,,Group
355,Taio Cruz,1614352,"dance pop,edm,pop,pop rap,post-teen pop",4,2008,M,Solo
356,Steve Holy,21109,"contemporary country,country,country road,modern country rock",3,2000,M,Solo
357,Foo Fighters,6862942,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",9,1995,M,Group
358,Birdman,574133,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop",10,2004,M,Solo
359,The Black Eyed Peas,3758344,"dance pop,pop,pop rap",9,1998,,Group
360,Hugh Laurie,166565,comic,4,1988,M,Solo
361,Tony Bennett,460034,"adult standards,easy listening,lounge,vocal jazz",68,1952,M,Solo
362,Amy Winehouse,5933500,"british soul,neo soul",6,2003,F,Solo
363,Pistol Annies,383327,"contemporary country,country,country dawn,country road,modern country rock",3,2011,F,Group
364,Tinie Tempah,652803,"dance pop,grime,pop,pop rap,rap,tropical house",4,2010,M,Solo
365,Martin Solveig,1071961,"big room,dance pop,disco house,edm,electro house,filter house,house,pop,pop rap,tropical house,vocal house",16,2000,M,Solo
366,Dragonette,67440,"alternative dance,canadian electropop,canadian pop,dance pop,electropop,indie poptimism,indietronica,metropopolis,neo-synthpop,new rave",9,2007,,Group
367,Mat Kearney,380903,"acoustic pop,folk-pop,indie folk,indie poptimism,indiecoustica,modern rock,neo mellow,pop rock",5,2006,M,Solo
368,Kirk Franklin,624031,"gospel,gospel r&b",14,1993,M,Solo
369,Marsha Ambrosius,303270,"british soul,deep pop r&b,hip pop,neo soul,quiet storm,r&b,urban contemporary",3,2011,F,Solo
370,Seether,1752485,"alternative metal,nu metal,post-grunge,rap rock,rock,south african rock",11,2002,M,Group
371,Don Omar,3643062,"latin,latin hip hop,puerto rican pop,reggaeton,tropical",9,2003,M,Solo
372,Jill Scott,951139,"funk,hip hop,hip pop,neo soul,r&b,soul,urban contemporary",25,2000,F,Solo
373,Shania Twain,1670822,"canadian country,canadian pop,contemporary country,country,country dawn,dance pop",7,1993,F,Solo
374,My Chemical Romance,4286046,"emo,pop punk",7,2002,M,Group
375,Jordin Sparks,1268023,"dance pop,neo mellow,pop,pop rap,pop rock,post-teen pop,r&b,urban contemporary",3,2007,F,Solo
376,Diddy,862323,"dance pop,east coast hip hop,hip hop,hip pop,pop,pop rap,r&b,rap",7,1997,M,Solo
377,Thirty Seconds To Mars,2418168,"modern rock,pop punk,post-grunge,rock",6,2002,M,Group
378,Akon,2069023,"dance pop,pop,pop rap",7,2004,M,Solo
379,Keri Hilson,1111223,"dance pop,deep pop r&b,hip pop,pop,pop rap,post-teen pop,r&b,urban contemporary",3,2009,F,Solo
380,Edward Maya,131839,romanian pop,7,2009,M,Solo
381,Far*East Movement,883832,"dance pop,edm,pop,pop rap",5,2009,M,Group
382,Josh Kelley,25294,"acoustic pop,neo mellow",10,2003,M,Solo
383,Mary Mary,2012472,"dance pop,hip hop,hip pop,neo soul,pop,r&b,urban contemporary",21,1992,F,Group
384,Amiee Mann,130217,"folk,folk-pop,lilith,new wave pop,permanent wave,pop rock",11,1993,F,Solo
385,Sunny Sweeney,42237,"contemporary country,country,country dawn,modern country rock,outlaw country,red dirt,roots americana,texas country",4,2006,F,Solo
386,Cage The Elephant,1714357,"garage rock,indie pop,indie rock,modern rock,punk blues,rock",7,2008,M,Group
387,Gorilla Zoe,444563,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",40,2007,M,Solo
388,Sick Puppies,523633,"alternative metal,christian rock,nu metal,pop punk,post-grunge,rap rock",6,2001,,Group
389,Aaron Lewis,333529,"alternative metal,contemporary country,country,country road,modern country rock,post-grunge,redneck",4,2011,M,Solo
390,Twista,524181,"chicago rap,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,trap music",18,1997,M,Solo
391,Plain White T's,722765,"neo mellow,pop punk,pop rock",7,2005,M,Group
392,3 Doors Down,2393833,"alternative metal,nu metal,pop punk,pop rock,post-grunge",8,2000,M,Group
393,Yolanda Be Cool,26668,"australian dance,australian house,bass house",8,2010,M,Group
394,Dcup,6787,,6,2010,M,Solo
395,Rise Against,1974130,"alternative metal,chicago hardcore,chicago punk,hardcore punk,nu metal,pop punk,post-grunge,punk,rap rock",11,2004,M,Group
396,James Blunt,2011011,"neo mellow,pop,pop rock",8,2004,M,Solo
397,Yellowcard,921183,"bow pop,emo,modern rock,pop punk,pop rock,post-grunge,socal pop punk",12,1999,M,Group
398,Reba McEntire,974392,"contemporary country,country,country dawn",40,1977,F,Solo
399,The Ready Set,222484,"alternative pop rock,neon pop punk,pixie,pop emo,pop punk",5,2009,M,Solo
400,Jesse McCartney,616736,"dance pop,neo mellow,pop,pop rock,post-teen pop,urban contemporary,viral pop",7,2004,M,Solo
401,Natasha Bedingfield,873824,"australian pop,dance pop,europop,neo mellow,pop,pop rock,post-teen pop",11,2004,F,Solo
402,Jazmine Sullivan,896433,"alternative r&b,dance pop,deep pop r&b,hip pop,indie r&b,neo soul,pop,r&b,urban contemporary",3,2008,F,Solo
403,Monica,1256667,"dance pop,deep pop r&b,hip hop,hip pop,neo soul,new jack swing,pop,pop rap,quiet storm,r&b,urban contemporary",9,1995,F,Solo
404,Kings Of Leon,4008239,"modern rock,rock",5,2003,M,Group
405,Hannah Montana,2308157,"dance pop,pop,post-teen pop",8,2006,F,Solo
406,Josh Thompson,107026,"contemporary country,country,country pop,country road,modern country rock,redneck",3,2010,M,Solo
407,Cali Swag District,70364,,4,2011,M,Group
408,A Rocket To The Moon,285356,"alternative pop rock,neo mellow,neon pop punk,pixie,pop emo,pop punk",3,2006,M,Group
409,Soulja Boy,892290,"atl hip hop,dance pop,dirty south rap,pop,pop rap,rap,southern hip hop,trap music",29,2007,M,Solo
410,Uncle Kracker,313271,"contemporary country,country,country road,pop rock,post-grunge",8,2000,M,Solo
411,Gyptian,326136,"conscious hip hop,dancehall,lovers rock,reggae fusion",7,2006,M,Solo
412,Chris Willis,11466,,7,2006,M,Solo
413,La Roux,458184,"alternative dance,dance pop,electropop,indietronica,neo-synthpop,new rave",3,2009,,Group
414,Shontelle,350934,"barbadian pop,post-teen pop",4,2008,F,Solo
415,Rob Thomas,459102,"neo mellow,pop rock,post-grunge",6,2005,M,Solo
416,Soundgarden,2144874,"alternative metal,alternative rock,grunge,hard rock,modern rock,nu metal,post-grunge,rock",11,1989,M,Group
417,Asher Roth,192867,"indie pop rap,pop rap,rap",4,2009,M,Solo
418,Clay Walker,535653,"contemporary country,country,country gospel,country road,country rock,modern country rock,outlaw country,texas country,traditional country",11,1993,M,Solo
419,Timbaland,1468103,"dance pop,hip hop,hip pop,pop,pop rap,rap,urban contemporary",5,2007,M,Solo
420,V V Brown,21295,"british soul,metropopolis",4,2009,F,Solo
421,Jaheim,758391,"dance pop,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary",8,2001,M,Solo
422,Lloyd Banks,627070,"gangster rap,hardcore hip hop,hip hop,pop rap,rap,trap music",10,2003,M,Solo
423,Lee DeWyze,43452,"idol,neo mellow",6,2007,M,Solo
424,Crystal Bowersox,13693,idol,4,2010,F,Solo
425,Will Young,186988,"australian pop,dance pop,europop,neo mellow,neo soul,new wave pop",11,2002,M,Solo
426,Charice,92854,"post-teen pop,viral pop",4,2010,M,Solo
427,Erykah Badu,1600823,"funk,hip hop,neo soul,r&b,soul,urban contemporary",9,1997,F,Solo
428,Kris Allen,116442,"acoustic pop,idol,indiecoustica,neo mellow,pop rock",6,2009,M,Solo
429,Spose,52071,"comic,indie pop rap,pop rap",9,2008,M,Solo
430,Maxwell,890286,"dance pop,funk,hip pop,neo soul,new jack swing,quiet storm,r&b,soul,urban contemporary",7,1996,M,Solo
431,Theory Of A Deadman,1122435,"alternative metal,canadian metal,canadian rock,nu metal,post-grunge,rap rock,wrestling",6,2002,M,Group
432,Alpha Rev,6787,rebel blues,4,2008,M,Group
433,Orianthi,47558,candy pop,3,2009,F,Solo
434,Matisyahu,515370,reggae fusion,13,2004,M,Solo
435,Melanie Fiona,468231,"canadian pop,dance pop,deep pop r&b,hip pop,neo soul,r&b,urban contemporary",4,2009,F,Solo
436,Sade,1695591,"british soul,neo soul",8,1984,F,Solo
437,Phoenix,1515476,"alternative dance,dance-punk,indie pop,indie rock,indietronica,modern rock,new rave",7,2000,,Group
438,Boys Like Girls,770554,"emo,neo mellow,neon pop punk,pop punk,pop rock,post-teen pop",3,2006,M,Group
439,Mario,1577454,"dance pop,deep pop r&b,hip pop,pop,pop rap,r&b,rap,urban contemporary",5,2002,M,Solo
440,Danny Gokey,171123,"anthem worship,ccm,christian pop,idol",6,2010,M,Solo
441,Creed,1599460,"alternative metal,nu metal,pop rock,post-grunge,rap rock,rock",4,1997,M,Group
442,Kellie Pickler,498990,"contemporary country,country,country dawn,country road",4,2006,F,Solo
443,k.d. lang,173719,"canadian country,canadian pop,canadian singer-songwriter,folk,folk-pop,lilith,mellow gold,new wave pop,permanent wave,singer-songwriter",12,1987,F,Solo
444,Cascada,317591,"bubblegum dance,dance pop,eurodance,europop,german techno,melbourne bounce international",22,2006,F,Solo
445,Andrea Bocelli,1211617,"adult standards,classical tenor,operatic pop",54,1994,M,Solo
446,Shiny Toy Guns,88857,"dance-punk,electronic rock,electropop,indietronica",4,2006,,Group
447,Jason Michael Carroll,182350,"contemporary country,country,country road,modern country rock,redneck",4,2007,M,Solo
448,Three Days Grace,3232153,"alternative metal,canadian metal,canadian rock,nu metal,pop punk,post-grunge",6,2003,M,Group
449,Cobra Starship,362869,"dance pop,neon pop punk,pop,pop punk,post-teen pop",4,2006,,Group
450,Michael Franti,124482,reggae fusion,11,1994,M,Solo
451,Spearhead,124482,reggae fusion,11,1994,M,Solo
452,Leona Lewis,1961101,"australian pop,british soul,dance pop,europop,pop,post-teen pop,talent show,uk pop",7,2007,F,Solo
453,Susan Boyle,138687,operatic pop,8,2009,F,Solo
454,Francesca Battistelli,360472,"anthem worship,ccm,christian alternative rock,christian music,worship",6,2008,F,Solo
455,Anya Marina,37479,"acoustic pop,ann arbor indie,folk-pop",5,2005,F,Solo
456,Pleasure P,691872,"dance pop,deep pop r&b,hip pop,pop rap,r&b,southern hip hop,urban contemporary",3,2009,M,Solo
457,Chamillionaire,437580,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",21,2004,M,Solo
458,Wonder Girls,241600,"dance pop,k-pop,k-pop girl group",4,2010,F,Group
459,Five For Fighting,471825,"acoustic pop,neo mellow,piano rock,pop rock,post-grunge",9,1997,M,Solo
460,Dorrough,34628,"dfw rap,dirty south rap,pop rap,southern hip hop,trap music",7,2009,M,Solo
461,Darryl Worley,132355,"contemporary country,country,country road,modern country rock",8,2000,M,Solo
462,Alice In Chains,2315685,"alternative metal,alternative rock,grunge,hard rock,nu metal,post-grunge,rock",8,1990,M,Group
463,The All,1599821,"modern rock,neo mellow,pop,pop punk,pop rock,post-grunge",6,2002,,
464,David Cook,183202,"idol,neo mellow,pop rock,talent show",3,2008,M,Solo
465,Ginuwine,1368331,"dance pop,hip hop,hip pop,neo soul,new jack swing,pop,pop rap,r&b,rap,southern hip hop,urban contemporary",10,1996,M,Solo
466,Jack Ingram,26475,"country road,outlaw country,red dirt,texas country",16,1993,M,Solo
467,Parachute,456779,"acoustic pop,charlottesville indie,indiecoustica,neo mellow,pop,pop rock,post-teen pop,viral pop",5,2009,,Group
468,Three 6 Mafia,589492,"crunk,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,trap music",20,1995,,Group
469,Skillet,2659558,"alternative metal,christian alternative rock,christian music,christian rock,post-grunge",14,1996,,Group
470,Jessie James Decker,106747,"contemporary country,country pop",4,2009,F,Solo
471,Matt And Kim,322417,"brooklyn indie,indie folk,indie pop,indie rock,indietronica,modern rock,shimmer pop,stomp and holler",5,2009,,Group
472,The Ting Tings,287071,"alternative dance,dance pop,dance-punk,electropop,folk-pop,new rave,pop rock",7,2007,,Group
473,Kristinia DeBarge,54930,post-teen pop,3,2009,F,Solo
474,Michelle Branch,348500,"candy pop,dance pop,folk-pop,lilith,neo mellow,pop rock",6,2000,F,Solo
475,Beastie Boys,1408731,"alternative rock,east coast hip hop,hip hop,old school hip hop,rap,rock",9,1986,M,Group
476,Maino,126400,"dirty south rap,pop rap,rap,trap music",14,2008,M,Solo
477,Alan Jackson,1076921,"contemporary country,country,country road",31,1989,M,Solo
478,Soulja Boy Tell 'em,892290,"atl hip hop,dance pop,dirty south rap,pop,pop rap,rap,southern hip hop,trap music",29,2007,M,Solo
479,The Veronicas,566245,"australian pop,candy pop,dance pop,electropop,girl group,pop,post-teen pop",8,2005,F,Group
480,Madcon,295616,"dance pop,norwegian hip hop,norwegian pop,pop rap",10,2004,M,Group
481,Musiq Soulchild,685302,"dance pop,hip hop,hip pop,neo soul,r&b,urban contemporary",11,2000,M,Solo
482,Yung L.A.,44057,"atl hip hop,dirty south rap,pop rap,rap,southern hip hop,trap music",10,2009,M,Solo
483,Paula Abdul,455477,"dance pop,europop,new wave pop,pop rock",4,1988,F,Solo
484,Chrisette Michele,321914,"deep pop r&b,hip pop,neo soul,quiet storm,r&b,urban contemporary",6,2007,F,Solo
485,Mike Jones,213342,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",8,2005,M,Solo
486,Charlie Wilson,525674,"neo soul,new jack swing,quiet storm,r&b,urban contemporary",7,1992,M,Solo
487,Lily Allen,1375457,"dance pop,europop,folk-pop,pop,pop rock",4,2006,F,Solo
488,Billy Ray Cyrus,135710,"contemporary country,country",18,1992,M,Solo
489,Stellar Kart,33152,"ccm,christian alternative rock,christian music,christian punk,christian rock",6,2005,M,Group
490,Silversun Pickups,414758,"alternative metal,alternative rock,dance-punk,garage rock,indie pop,indie rock,indietronica,la indie,modern rock,post-grunge,rock",6,2005,,Group
491,Ashley Tisdale,708045,"dance pop,pop,post-teen pop,viral pop",3,2007,F,Solo
492,MGMT,1588180,"alternative dance,garage rock,indie pop,indie rock,indietronica,modern rock,rock",5,2007,M,Group
493,Papa Roach,2884037,"alternative metal,nu metal,pop punk,post-grunge,rap metal,rap rock",11,2000,M,Group
494,Brooks & Dunn,1216614,"contemporary country,country,country road,country rock,red dirt",14,1991,M,Group
495,Bobby V,481244,"dance pop,hip pop,new jack swing,pop rap,r&b,southern hip hop,urban contemporary",8,2005,M,Solo
496,Lee Ann Womack,352850,"contemporary country,country,country dawn,country road",10,1997,F,Solo
497,Framing Hanley,134327,"alternative metal,christian rock,nu metal,post-grunge,screamo",6,2007,M,Group
498,Brooke White,6206,idol,6,2006,F,Solo
499,Jim Jones,304490,"gangster rap,hardcore hip hop,hip hop,pop rap,rap,trap music",26,2004,M,Solo
500,Ron Browz,4070,nyc rap,14,2010,M,Solo
501,The Offspring,3169093,"alternative metal,permanent wave,pop punk,post-grunge,punk,rock,skate punk,socal pop punk",10,1989,M,Group
502,Bruce Springsteen,2576304,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",29,1973,M,Solo
503,Saving Abel,445889,"alternative metal,nu metal,post-grunge,rap rock",4,2008,M,Group
504,Pat Green,77434,"outlaw country,red dirt,texas country",12,1995,M,Solo
505,Apocalyptica,545305,"alternative metal,bow pop,cello,power metal,progressive metal",13,1996,,Group
506,David Archuleta,295902,"dance pop,idol,lds youth,neo mellow,post-teen pop,viral pop",9,2008,M,Solo
507,O.A.R.,231714,"acoustic pop,neo mellow,pop rock",15,1997,M,Group
508,Metro Station,199011,"electropowerpop,neon pop punk,pixie,pop punk",3,2007,M,Group
509,Hinder,984864,"alternative metal,nu metal,pop rock,post-grunge,rap rock",6,2005,M,Group
510,Avant,748447,"dance pop,deep pop r&b,hip pop,neo soul,new jack swing,pop rap,r&b,southern hip hop,urban contemporary",8,2000,M,Solo
511,Secondhand Serenade,735441,"neo mellow,piano rock,pixie,pop punk,pop rock",5,2007,,Group
512,M.I.A.,834534,"art pop,dance pop,escape room,new rave,pop",7,2005,F,Solo
513,Guns N' Roses,14174998,"glam metal,hard rock,rock",6,1987,M,Group
514,Jimmy Wayne,35621,"contemporary country,country,country road",6,2003,M,Solo
515,Bucky Covington,76829,"contemporary country,country,country road,modern country rock",3,2007,M,Solo
516,Kardinal Offishall,29367,"pop rap,toronto rap",5,2001,M,Solo
517,Buckcherry,372831,"alternative metal,glam metal,hard rock,nu metal,post-grunge,rock,sleaze rock",12,1999,M,Group
518,Metallica,12040848,"hard rock,metal,old school thrash,rock,speed metal,thrash metal",17,1983,M,Group
519,September,95948,"electropop,eurodance,europop,swedish electropop,swedish pop",8,2004,F,Solo
520,Ray LaMontagne,697167,"acoustic pop,folk-pop,indie folk,neo mellow,new americana,pop rock,stomp and holler",8,2004,M,Solo
521,Oasis,4494787,"britpop,madchester,permanent wave,rock",13,1994,M,Group
522,LL Cool J,780351,"east coast hip hop,hardcore hip hop,hip hop,hip pop,old school hip hop,pop,pop rap,r&b,rap,southern hip hop,urban contemporary",14,1985,M,Solo
523,David Banner,374128,"conscious hip hop,crunk,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",8,2003,M,Solo
524,Joshua Radin,299526,"acoustic pop,folk-pop,indie folk,indiecoustica,neo mellow,pop rock,viral pop",12,2006,M,Solo
525,Shwayze,131757,"indie pop rap,pop rap",7,2008,M,Solo
526,Marvin Sapp,303109,gospel,13,1995,M,Solo
527,Staind,1354622,"alternative metal,nu metal,post-grunge,rap rock,rock",10,1999,M,Group
528,Flobots,126551,"comic,conscious hip hop",5,2008,M,Group
529,Goo Goo Dolls,1410378,"neo mellow,permanent wave,pop rock,post-grunge",16,1987,M,Group
530,Danity Kane,336702,"dance pop,deep pop r&b,girl group,hip pop,post-teen pop,r&b,urban contemporary",3,2006,F,Group
531,New Kids On The Block,386725,"boy band,dance pop",9,1986,M,Group
532,Jessica Simpson,665813,"dance pop,post-teen pop",8,1999,F,Solo
533,Flex,104438,"latin,latin hip hop,panamanian pop,reggaeton,tropical",5,2007,M,Solo
534,Josh Gracin,139473,"contemporary country,country,country pop,country road,modern country rock",4,2004,M,Solo
535,Flyleaf,656918,"alternative metal,christian alternative rock,christian rock,nu metal,pop emo,post-grunge,rap rock",6,2005,,Group
536,Julianne Hough,16132,"contemporary country,country,country dawn,hollywood",3,2008,F,Solo
537,James Otto,58387,"contemporary country,country,country road,modern country rock",3,2004,M,Solo
538,Ashanti,1612524,"dance pop,hip hop,hip pop,pop,pop rap,r&b,southern hip hop,urban contemporary",12,2002,F,Solo
539,2 Pistols,18436,"dirty south rap,pop rap,southern hip hop,trap music",3,2008,M,Solo
540,Death Cab For Cutie,1069398,"folk-pop,indie folk,indie pop,indie rock,modern rock,pop rock,stomp and holler,washington indie",11,1998,M,Group
541,Phil Vassar,178766,"contemporary country,country,country road,modern country rock",12,2000,M,Solo
542,Yael Naim,101038,,5,2007,F,Solo
543,Raheem DeVaughn,283038,"dance pop,hip hop,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary",10,2005,M,Solo
544,Puddle Of Mudd,996122,"alternative metal,alternative rock,nu metal,pop punk,post-grunge,rap rock,rock",10,2001,M,Group
545,Finger Eleven,373940,"alternative metal,canadian rock,funk metal,nu metal,post-grunge,rap rock,wrestling",6,1998,M,Group
546,Kate Voegele,92291,neo mellow,6,2007,F,Solo
547,Jewel,372572,"alaska indie,folk-pop,lilith,permanent wave,pop rock,singer-songwriter",12,1995,F,Solo
548,Shawty Lo,198329,"atl hip hop,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",4,2010,M,Solo
549,Augustana,159403,"acoustic pop,neo mellow,piano rock,pop rock",4,2005,M,Group
550,Ashlee Simpson,482823,"dance pop,pop rock,post-teen pop",4,2004,F,Solo
551,J. Holiday,852059,"bassline,dance pop,deep pop r&b,hip pop,neo soul,new jack swing,pop rap,r&b,urban contemporary",3,2007,M,Solo
